,totgen,coal,oil,biomass,IPP,alphacoal,alphaoil,alphabiomass,alphaIPP,,,,,,,,,,
42,2105.040642,397.8523436,312.9500622,-0.959146391,499.0738439,0.18899984,0.148666993,-0.000455643,0.237085135,,,,,,,,,,
43,2128.406414,359.8640461,312.17244,-0.736871391,493.1164139,0.169076753,0.146669564,-0.000346208,0.23168339,,,,,,,,,,
44,2139.696256,328.5468564,312.4534405,-0.215479391,491.1949139,0.153548363,0.146027007,-0.000100706,0.229562917,,,,,,,,,,
45,2183.868031,297.8472033,311.8725409,1.107295609,493.0645539,0.136385166,0.142807412,0.000507034,0.225775801,,,,,,,,,,
46,2190.805199,280.4829745,314.1059202,2.232434609,493.8444339,0.128027346,0.143374646,0.001019002,0.225416862,,,,,,,,,,
47,2202.447482,275.9259532,321.3767654,2.036673609,498.8380039,0.125281513,0.145918015,0.000924732,0.226492576,,,,,,,,,,
48,2210.168844,272.5397822,320.9071175,1.683853609,497.2677339,0.123311747,0.145195748,0.000761867,0.224990835,,,,,,,,,,
49,2215.538497,272.4775418,322.2718636,0.756650609,498.6072539,0.122984792,0.145459835,0.00034152,0.225050142,,,,,,,,,,
50,2197.76125,269.583985,319.4130897,0.515887609,499.7836039,0.122662999,0.145335664,0.000234733,0.227405777,,,,,,,,,,
51,2183.856488,270.3114413,311.7588617,0.342702609,507.2401939,0.123777108,0.142756112,0.000156925,0.232268098,,,,,,,,,,
52,2172.027541,273.6428063,294.3674967,0.304450609,499.2495239,0.125984962,0.135526595,0.000140169,0.229854141,,,,,,,,,,
53,2154.550491,277.2436732,299.8391648,0.784402609,505.1388139,0.128678197,0.139165532,0.000364068,0.234452066,,,,,,,,,,
54,2121.624861,284.7922217,303.3913858,1.661351609,502.8988039,0.134233071,0.142999543,0.000783056,0.237034743,,,,,,,,,,
55,2105.47168,289.6115991,301.6910418,1.889664609,502.2320039,0.137551885,0.143289052,0.000897502,0.238536575,,,,,,,,,,
56,2115.333173,292.4815439,301.4048678,1.302681609,501.6291639,0.138267365,0.142485766,0.000615828,0.237139553,,,,,,,,,,
