"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"92.70833",2357.25874466695,1556.86036518294,3157.65712415095,1133.15505719167,3581.36243214223
"92.71875",2352.44972366694,1547.88566132678,3157.0137860071,1121.97517403628,3582.9242732976
"92.72917",2435.94746826693,1627.23918035467,3244.6557561792,1199.134872565,3672.76006396887
"92.73958",2483.27243166693,1670.44104726628,3296.10381606758,1240.15410403873,3726.39075929513
"92.75000",2628.09442466693,1811.1607529436,3445.02809639026,1378.70218998508,3877.48665934878
"92.76042",2788.56863666693,1967.55317486122,3609.58409847264,1532.93384275531,4044.20343057855
"92.77083",2854.84169166693,2029.76463280957,3679.9187505243,1592.99522110102,4116.68816223285
"92.78125",2855.14404966693,2026.02529003029,3684.26280930358,1587.11633116949,4123.17176816437
"92.79167",2812.06634166693,1978.92548796326,3645.2071953706,1537.88736111672,4086.24532221715
"92.80208",2759.62073466693,1922.47711100444,3596.76435832942,1479.32004573712,4039.92142359675
"92.81250",2702.90807666693,1861.78073127419,3544.03542205968,1416.51481110918,3989.30134222468
"92.82292",2644.02471466693,1798.93242639533,3489.11700293853,1351.5675922561,3936.48183707777
"92.83333",2612.20004766693,1763.16133228064,3461.23876305322,1313.70738582064,3910.69270951322
"92.84375",2548.23320566693,1695.26632192906,3401.2000894048,1243.73292875365,3852.73348258021
"92.85417",2513.57270366693,1656.69565923047,3370.44974810339,1203.0923520153,3824.05305531857
"92.86458",2453.39610666693,1592.62666377828,3314.16554955559,1136.96284528861,3769.82936804525
"92.87500",2377.27038566693,1512.62606668974,3241.91470464412,1054.9110127046,3699.62975862926
"92.88542",2330.44113166693,1461.93922443345,3198.94303890042,1002.1820865784,3658.70017675546
"92.89583",2258.98889566693,1386.64645866362,3131.33133267025,924.856267155936,3593.12152417793
"92.90625",2100.96929966693,1224.80316706104,2977.13543227282,760.988833370565,3440.9497659633
"92.91667",2046.51052066693,1166.53730718015,2926.48373415371,700.707626609264,3392.3134147246
"92.92708",1983.96733566693,1100.20344130208,2867.73123003178,632.367095487846,3335.56757584602
"92.93750",1942.46783966693,1054.92945429332,2830.00622504055,585.095013634847,3299.84066569902
"92.94792",1881.87415266693,990.577260469789,2773.17104486408,518.75318648363,3244.99511885024
"92.95833",1841.63546366693,946.595847466082,2736.67507986778,472.790495072363,3210.4804322615
"92.96875",1822.67045566693,923.903701109529,2721.43721022433,448.125320851477,3197.21559048239
"92.97917",1851.75617131017,944.03206694095,2759.48027567938,463.511952119109,3240.00039050122
"92.98958",1780.5568665392,865.185185310627,2695.92854776777,380.616687843797,3180.4970452346
"93.00000",1766.40971150422,842.808184972332,2690.01123803611,353.883070565311,3178.93635244313
"93.01042",1747.96661118741,815.766783824173,2680.16643855066,322.290003902412,3173.64321847242
"93.02083",1732.25145613353,791.289558711562,2673.21335355549,293.174419082893,3171.32849318416
"93.03125",1711.90615942727,762.492304206867,2661.32001464767,259.902968385519,3163.90935046902
"93.04167",1693.50487408911,735.867996111339,2651.14175206689,228.925654987457,3158.08409319077
"93.05208",1678.41493911596,712.729355529232,2644.10052270269,201.526287027101,3155.30359120482
"93.06250",1665.84778444558,692.250699149369,2639.4448697418,176.859534626039,3154.83603426513
"93.07292",1658.12314124388,676.726300943845,2639.51998154392,157.206195532002,3159.04008695577
"93.08333",1647.81902100645,658.716536631942,2636.92150538097,135.117309648226,3160.52073236468
"93.09375",1629.77260574486,633.046231716442,2626.49897977327,105.411161336863,3154.13405015285
"93.10417",1620.34666636196,616.069380900249,2624.62395182366,84.4370994611986,3156.25623326271
"93.11458",1631.06894246611,619.307385783705,2642.83049914852,83.7131704827923,3178.42471444943
