,intensiyfunction,generation.MW.,,cemission
133,0.169439061,2137.219446,,362.1284558
134,0.169312714,2172.317937,,367.8010465
135,0.169252431,2165.830954,,366.5721538
136,0.166470039,2182.011618,,363.2395595
137,0.164544386,2184.909831,,359.5146462
138,0.16266226,2194.066628,,356.8918367
139,0.156568225,2217.4324,,347.1794548
140,0.152625825,2228.722242,,340.1605714
141,0.146942517,2272.894017,,333.9847681
142,0.145275451,2279.831185,,331.2035043
143,0.14550209,2291.473469,,333.414179
144,0.144640581,2299.194831,,332.5568769
145,0.144726827,2304.564484,,333.5323058
146,0.145562485,2286.787237,,332.8704323
147,0.146672602,2272.882475,,333.3695855
148,0.145331524,2261.053528,,328.602355
149,0.14817998,2243.576478,,332.453117
150,0.151478806,2210.650848,,334.8667506
151,0.153014735,2194.497667,,335.7904785
152,0.152694655,2204.35916,,336.593861
153,0.152443381,2217.630398,,338.0630747
154,0.151708992,2249.250965,,341.2315956
155,0.151389513,2283.448647,,345.6901785
156,0.152187171,2317.34443,,352.6700938
157,0.152560865,2333.899587,,356.0617388
158,0.152796042,2343.637014,,358.0984595
159,0.151793959,2372.143517,,360.0770555
160,0.150784022,2392.529749,,360.7552586
161,0.152610156,2408.868423,,367.6177847
162,0.154968653,2409.155534,,373.3435881
163,0.15617398,2400.16752,,374.8437148
164,0.157627544,2382.650159,,375.5712933
165,0.159281588,2363.612784,,376.4799975
166,0.161392532,2341.125026,,377.8400948
167,0.161862921,2357.258745,,381.5527849
168,0.162117784,2352.449724,,381.3739352
169,0.158123264,2435.947468,,385.1799656
170,0.155073999,2483.272432,,385.090986
171,0.147320812,2628.094425,,387.1730043
172,0.139386262,2788.568637,,388.6881587
173,0.13698831,2854.841692,,391.0799381
174,0.137629026,2855.14405,,392.9506939
175,0.13996148,2812.066342,,393.5809661
176,0.143409244,2759.620735,,395.7551233
177,0.146810969,2702.908077,,396.8165544
178,0.151303888,2644.024715,,400.0512196
179,0.153220881,2612.200048,,400.2435923
180,0.157783591,2548.233206,,402.0693855
181,0.1637353,2513.572704,,411.5605797
182,0.169514571,2453.396107,,415.8863881
183,0.175101023,2377.270386,,416.2624758
184,0.177269368,2330.441132,,413.1158268
185,0.18154485,2258.988896,,410.1078006
186,0.194079356,2100.9693,,407.7547687
187,0.19538786,2046.510521,,399.8633109
188,0.198599269,1983.967336,,394.0144635
189,0.199389616,1942.46784,,387.3079168
190,0.195729393,1881.874153,,368.3380864
191,0.199758598,1841.635464,,367.8825188
192,0.200014571,1822.670456,,364.5606491
193,0.205479225,1851.756171,,380.4974231
194,0.200129731,1780.556867,,356.3423661
195,0.197500735,1766.409712,,348.8672166
196,0.200561514,1747.966611,,350.5748299
197,0.200936217,1732.251456,,348.0720547
198,0.205438134,1711.906159,,351.6908065
199,0.208859113,1693.504874,,353.7039265
200,0.209093073,1678.414939,,350.944938
201,0.207395854,1665.847784,,345.4899247
202,0.21081253,1658.123141,,349.5531348
203,0.214842435,1647.819021,,354.0214513
204,0.219877748,1629.772606,,358.3507301
205,0.220647168,1620.346666,,357.5249038
206,0.219972362,1631.068942,,358.7900884
207,0.220539287,1632.051463,,359.9314656
208,0.221933602,1623.225231,,360.2482228
209,0.21977622,1649.020544,,362.4155019
210,0.215080564,1697.853367,,365.1752595
211,0.214127129,1767.045072,,378.3722888
212,0.215457303,1843.5347,,397.2030138
213,0.215105219,1918.078021,,412.5885923
214,0.202649728,2069.323716,,419.3478888
215,0.193609261,2189.594985,,423.9258679
216,0.189715897,2253.912015,,427.6029391
217,0.19067692,2262.243902,,431.3576984
218,0.192272218,2248.2898,,432.2836677
219,0.199307859,2175.756386,,433.6453467
220,0.209352908,2080.381739,,435.5339671
221,0.218539118,1974.289616,,431.4595107
222,0.223321186,1944.160692,,434.1722717
223,0.225029435,1939.685273,,436.4862815
224,0.223368775,1962.359622,,438.3298645
225,0.222210001,1981.780522,,440.3714513
226,0.218010848,2047.053024,,446.2797654
227,0.215687834,2119.173333,,457.0799055
228,0.210430893,2169.971049,,456.6289457
229,0.21244647,2226.245432,,472.9579837
230,0.211797301,2261.343924,,478.9465403
231,0.212001408,2254.85694,,478.0328466
232,0.209161964,2271.037605,,475.0146868
233,0.207395231,2273.935817,,471.6034432
234,0.205551688,2283.092615,,469.2935409
235,0.199393716,2306.458387,,459.8933076
236,0.195528491,2317.748228,,453.1858143
237,0.189388567,2361.920003,,447.3206455
238,0.187790665,2368.857171,,444.8492624
239,0.187930756,2380.499455,,447.3690634
240,0.18709331,2388.220817,,446.8201383
241,0.187209634,2393.59047,,448.1031947
242,0.188461028,2375.813223,,447.7482013
243,0.189911462,2361.908461,,448.5534894
244,0.188968776,2350.079514,,444.0916504
245,0.192166077,2332.602464,,448.2470637
246,0.196099121,2299.676834,,450.9646067
247,0.198023571,2283.523653,,452.1915076
