"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"91.30208",264.187677390687,175.726531108581,352.648823672794,128.898028963331,399.477325818044
"91.31250",264.491181637423,174.818679130904,354.163684143942,127.348923735637,401.633439539209
"91.32292",277.736751093857,186.869048547022,368.604453640693,138.766592468978,416.706909718737
"91.33333",287.112859072233,195.065480670979,379.160237473486,146.338541917759,427.887176226706
"91.34375",284.730952198493,191.518830872492,377.943073524494,142.175314459559,427.286589937427
"91.35417",310.655954615986,216.29346905073,405.018440181241,166.340986594401,454.97092263757
"91.36458",318.444718128701,222.945726510582,413.943709746819,172.391614091593,464.497822165809
"91.37500",316.568871301995,219.946742183117,413.191000420873,168.798076685468,464.339665918523
"91.38542",316.681851533424,218.949492142555,414.414210924292,167.213106240427,466.15059682642
"91.39583",314.108263102541,215.278145380312,412.938380824771,162.960641320262,465.25588488482
"91.40625",312.950062205928,213.034246803171,412.865877608686,160.14200910809,465.758115303767
"91.41667",312.172439981819,211.18259842783,413.162281535808,157.72180563211,466.623074331527
"91.42708",312.453440527417,210.400875748247,414.506005306588,156.37751125951,468.529369795325
"91.43750",311.872540911076,208.768206255629,414.976875566523,154.188068426533,469.55701339562
"91.44792",314.105920180861,209.960437093743,418.251403267978,154.829148577423,473.382691784299
"91.45833",321.376765370571,216.200439834551,426.553090906591,160.523456288733,482.230074452409
"91.46875",320.907117503973,214.709955361161,427.104279646785,158.492573558704,483.321661449242
"91.47917",322.271863597781,215.063584846746,429.480142348815,158.310950244079,486.232776951482
"91.48958",319.413089663745,211.203141819486,427.623037508003,153.92025562895,484.905923698539
"91.50000",311.75886171013,202.556432304813,420.961291115447,144.748158112148,478.769565308112
"91.51042",294.367496742747,184.181525037252,404.553468448243,125.85259500132,462.882398484174
"91.52083",299.839164765684,188.678352735084,410.999976796284,129.833373403229,469.844956128138
"91.53125",303.391385781812,191.264208431787,415.518563131837,131.907666201013,474.875105362611
"91.54167",301.691041793154,188.605756858926,414.776326727381,128.742023110205,474.640060476103
"91.55208",301.404867801129,187.369524875716,415.440210726542,127.00286080619,475.806874796067
"91.56250",301.105159806737,186.127608941022,416.082710672452,125.262170116611,476.948149496863
"91.57292",301.025902810681,185.113802623994,416.938002997367,123.753643272874,478.298162348487
